Date,kWh
12/23/2019 5:00,0.084
12/23/2019 4:00,0.074
12/23/2019 3:00,0.07
12/23/2019 2:00,0.076
12/23/2019 1:00,0.08
12/23/2019 0:00,0.07
12/22/2019 23:00,0.082
12/22/2019 22:00,0.078
12/22/2019 21:00,0.076
12/22/2019 20:00,0.09
12/22/2019 19:00,0.142
12/22/2019 18:00,0.136
12/22/2019 17:00,0.132
12/22/2019 16:00,0.452
12/22/2019 15:00,1.046
12/22/2019 14:00,0.132
12/22/2019 13:00,0.23
12/22/2019 12:00,0.072
12/22/2019 11:00,0.092
12/22/2019 10:00,0.074
12/22/2019 9:00,0.11
12/22/2019 8:00,0.122
12/22/2019 7:00,0.14
12/22/2019 6:00,0.49
12/22/2019 5:00,0.866
12/22/2019 4:00,0.746
12/22/2019 3:00,0.278
12/22/2019 2:00,0.172
12/22/2019 1:00,1.024
12/22/2019 0:00,0.102
12/21/2019 23:00,0.078
12/21/2019 22:00,0.112
12/21/2019 21:00,0.18
12/21/2019 20:00,0.238
12/21/2019 19:00,0.224
12/21/2019 18:00,0.818
12/21/2019 17:00,0.792
12/21/2019 16:00,0.77
12/21/2019 15:00,0.43
12/21/2019 14:00,0.28
12/21/2019 13:00,0.12
12/21/2019 12:00,0.086
12/21/2019 11:00,0.068
12/21/2019 10:00,0.09
12/21/2019 9:00,0.074
12/21/2019 8:00,0.102
12/21/2019 7:00,0.154
12/21/2019 6:00,0.366
12/21/2019 5:00,0.284
12/21/2019 4:00,0.304
12/21/2019 3:00,0.31
12/21/2019 2:00,0.282
12/21/2019 1:00,0.152
12/21/2019 0:00,1.058
12/20/2019 23:00,0.346
12/20/2019 22:00,0.074
12/20/2019 21:00,0.128
12/20/2019 20:00,0.108
12/20/2019 19:00,0.13
12/20/2019 18:00,0.192
12/20/2019 17:00,0.502
12/20/2019 16:00,0.17
12/20/2019 15:00,0.308
12/20/2019 14:00,0.122
12/20/2019 13:00,0.134
12/20/2019 12:00,0.084
12/20/2019 11:00,0.098
12/20/2019 10:00,0.098
12/20/2019 9:00,0.176
12/20/2019 8:00,0.164
12/20/2019 7:00,0.224
12/20/2019 6:00,0.266
12/20/2019 5:00,0.238
12/20/2019 4:00,0.188
12/20/2019 3:00,0.464
12/20/2019 2:00,1.25
12/20/2019 1:00,0.602
12/20/2019 0:00,0.12
12/19/2019 23:00,0.088
12/19/2019 22:00,0.246
12/19/2019 21:00,0.778
12/19/2019 20:00,0.87
12/19/2019 19:00,0.762
12/19/2019 18:00,1.114
12/19/2019 17:00,0.744
12/19/2019 16:00,0.788
12/19/2019 15:00,0.754
12/19/2019 14:00,0.382
12/19/2019 13:00,0.07
12/19/2019 12:00,0.08
12/19/2019 11:00,0.078
12/19/2019 10:00,0.074
12/19/2019 9:00,0.086
12/19/2019 8:00,0.076
12/19/2019 7:00,0.094
12/19/2019 6:00,0.182
12/19/2019 5:00,0.114
12/19/2019 4:00,0.068
12/19/2019 3:00,0.084
12/19/2019 2:00,0.076
12/19/2019 1:00,0.076
12/19/2019 0:00,0.082
12/18/2019 23:00,0.07
12/18/2019 22:00,0.086
12/18/2019 21:00,0.07
12/18/2019 20:00,0.092
12/18/2019 19:00,0.068
12/18/2019 18:00,0.09
12/18/2019 17:00,0.072
12/18/2019 16:00,0.088
12/18/2019 15:00,0.08
12/18/2019 14:00,0.08
12/18/2019 13:00,0.158
12/18/2019 12:00,0.214
12/18/2019 11:00,0.128
12/18/2019 10:00,0.08
12/18/2019 9:00,0.084
12/18/2019 8:00,0.094
12/18/2019 7:00,0.092
12/18/2019 6:00,0.23
12/18/2019 5:00,0.542
12/18/2019 4:00,0.978
12/18/2019 3:00,0.94
12/18/2019 2:00,0.818
12/18/2019 1:00,1.842
12/18/2019 0:00,1.442
12/17/2019 23:00,0.798
12/17/2019 22:00,0.75
12/17/2019 21:00,0.764
12/17/2019 20:00,0.88
12/17/2019 19:00,0.758
12/17/2019 18:00,0.808
12/17/2019 17:00,0.384
12/17/2019 16:00,0.19
12/17/2019 15:00,0.17
12/17/2019 14:00,0.282
12/17/2019 13:00,0.082
12/17/2019 12:00,0.086
12/17/2019 11:00,0.076
12/17/2019 10:00,0.088
12/17/2019 9:00,0.074
12/17/2019 8:00,0.09
12/17/2019 7:00,0.072
12/17/2019 6:00,0.09
12/17/2019 5:00,0.08
12/17/2019 4:00,0.372
12/17/2019 3:00,0.824
12/17/2019 2:00,1.472
12/17/2019 1:00,0.09
12/17/2019 0:00,0.102
12/16/2019 23:00,0.108
12/16/2019 22:00,0.124
12/16/2019 21:00,0.336
12/16/2019 20:00,0.718
12/16/2019 19:00,0.838
12/16/2019 18:00,0.822
12/16/2019 17:00,0.856
12/16/2019 16:00,1.724
12/16/2019 15:00,0.164
12/16/2019 14:00,0.234
12/16/2019 13:00,0.076
12/16/2019 12:00,0.082
12/16/2019 11:00,0.084
12/16/2019 10:00,0.086
12/16/2019 9:00,0.086
12/16/2019 8:00,0.088
12/16/2019 7:00,0.222
12/16/2019 6:00,0.408
12/16/2019 5:00,0.43
12/16/2019 4:00,0.316
12/16/2019 3:00,0.146
12/16/2019 2:00,0.156
12/16/2019 1:00,0.91
12/16/2019 0:00,0.824
12/15/2019 23:00,0.334
12/15/2019 22:00,0.362
12/15/2019 21:00,0.526
12/15/2019 20:00,0.81
12/15/2019 19:00,0.122
12/15/2019 18:00,0.146
12/15/2019 17:00,0.238
12/15/2019 16:00,0.088
12/15/2019 15:00,0.082
12/15/2019 14:00,0.072
12/15/2019 13:00,0.072
12/15/2019 12:00,0.074
12/15/2019 11:00,0.072
12/15/2019 10:00,0.078
12/15/2019 9:00,0.134
12/15/2019 8:00,0.16
12/15/2019 7:00,0.13
12/15/2019 6:00,0.128
12/15/2019 5:00,0.128
12/15/2019 4:00,0.14
12/15/2019 3:00,0.128
12/15/2019 2:00,0.14
12/15/2019 1:00,0.166
12/15/2019 0:00,0.222
12/14/2019 23:00,0.36
12/14/2019 22:00,0.456
12/14/2019 21:00,0.644
12/14/2019 20:00,0.342
12/14/2019 19:00,0.332
12/14/2019 18:00,0.458
12/14/2019 17:00,0.14
12/14/2019 16:00,0.22
12/14/2019 15:00,0.074
12/14/2019 14:00,0.064
12/14/2019 13:00,0.074
12/14/2019 12:00,0.064
12/14/2019 11:00,0.072
12/14/2019 10:00,0.096
12/14/2019 9:00,0.226
12/14/2019 8:00,0.086
12/14/2019 7:00,0.086
12/14/2019 6:00,0.09
12/14/2019 5:00,0.082
12/14/2019 4:00,0.084
12/14/2019 3:00,0.086
12/14/2019 2:00,0.088
12/14/2019 1:00,0.086
12/14/2019 0:00,0.124
12/13/2019 23:00,0.128
12/13/2019 22:00,0.102
12/13/2019 21:00,0.072
12/13/2019 20:00,0.122
12/13/2019 19:00,0.192
12/13/2019 18:00,0.58
12/13/2019 17:00,0.126
12/13/2019 16:00,0.3
12/13/2019 15:00,0.13
12/13/2019 14:00,0.102
12/13/2019 13:00,0.078
12/13/2019 12:00,0.082
12/13/2019 11:00,0.106
12/13/2019 10:00,0.172
12/13/2019 9:00,0.076
12/13/2019 8:00,0.076
12/13/2019 7:00,0.084
12/13/2019 6:00,0.136
12/13/2019 5:00,0.144
12/13/2019 4:00,0.18
12/13/2019 3:00,0.214
12/13/2019 2:00,0.388
12/13/2019 1:00,0.12
12/13/2019 0:00,0.108
12/12/2019 23:00,0.104
12/12/2019 22:00,0.17
12/12/2019 21:00,0.176
12/12/2019 20:00,0.366
12/12/2019 19:00,0.148
12/12/2019 18:00,0.128
12/12/2019 17:00,0.178
12/12/2019 16:00,0.1
12/12/2019 15:00,0.1
12/12/2019 14:00,0.962
12/12/2019 13:00,0.654
12/12/2019 12:00,0.072
12/12/2019 11:00,0.074
12/12/2019 10:00,0.084
12/12/2019 9:00,0.08
12/12/2019 8:00,0.078
12/12/2019 7:00,0.228
12/12/2019 6:00,0.438
12/12/2019 5:00,0.346
12/12/2019 4:00,0.242
12/12/2019 3:00,0.256
12/12/2019 2:00,0.136
12/12/2019 1:00,0.712
12/12/2019 0:00,0.578
12/11/2019 23:00,0.176
12/11/2019 22:00,0.162
12/11/2019 21:00,0.152
12/11/2019 20:00,0.15
12/11/2019 19:00,0.148
12/11/2019 18:00,0.178
12/11/2019 17:00,0.176
12/11/2019 16:00,0.098
12/11/2019 15:00,0.11
12/11/2019 14:00,0.25
12/11/2019 13:00,0.072
12/11/2019 12:00,0.074
12/11/2019 11:00,0.074
12/11/2019 10:00,0.074
12/11/2019 9:00,0.076
12/11/2019 8:00,0.076
12/11/2019 7:00,0.076
12/11/2019 6:00,0.194
12/11/2019 5:00,0.16
12/11/2019 4:00,0.172
12/11/2019 3:00,0.2
12/11/2019 2:00,0.246
12/11/2019 1:00,0.176
12/11/2019 0:00,1.508
12/10/2019 23:00,0.216
12/10/2019 22:00,0.446
12/10/2019 21:00,0.788
12/10/2019 20:00,0.734
12/10/2019 19:00,0.758
12/10/2019 18:00,0.73
12/10/2019 17:00,0.974
12/10/2019 16:00,0.188
12/10/2019 15:00,0.25
12/10/2019 14:00,0.09
12/10/2019 13:00,0.076
12/10/2019 12:00,0.088
12/10/2019 11:00,0.076
12/10/2019 10:00,0.086
12/10/2019 9:00,0.086
12/10/2019 8:00,0.08
12/10/2019 7:00,0.094
12/10/2019 6:00,0.294
12/10/2019 5:00,0.322
12/10/2019 4:00,0.316
12/10/2019 3:00,0.484
12/10/2019 2:00,0.91
12/10/2019 1:00,1.036
12/10/2019 0:00,1.93
12/9/2019 23:00,0.802
12/9/2019 22:00,0.76
12/9/2019 21:00,0.76
12/9/2019 20:00,0.922
12/9/2019 19:00,0.836
12/9/2019 18:00,0.82
12/9/2019 17:00,0.17
12/9/2019 16:00,0.176
12/9/2019 15:00,0.226
12/9/2019 14:00,0.172
12/9/2019 13:00,0.078
12/9/2019 12:00,0.084
12/9/2019 11:00,0.082
12/9/2019 10:00,0.086
12/9/2019 9:00,0.086
12/9/2019 8:00,0.084
12/9/2019 7:00,0.092
12/9/2019 6:00,0.51
12/9/2019 5:00,0.276
12/9/2019 4:00,0.37
12/9/2019 3:00,0.586
12/9/2019 2:00,0.612
12/9/2019 1:00,0.692
