date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation
"2020-01-20 14:00:00 EST",1579546800,101,103.2,WNW,30,14,,43,-16.7,-5.9,-11,,24100,,,1,,
"2020-01-20 13:00:00 EST",1579543200,101.05,103.3,SE,13,8,,63,-13.9,-7.9,-12,,24100,2.9,,0,,
"2020-01-20 12:00:00 EST",1579539600,101.11,103.3,N,0,2,,63,-15.3,-9.4,-11,,24100,3,,0,,
"2020-01-20 11:00:00 EST",1579536000,101.14,103.4,NE,4,11,,67,-15.7,-10.7,-16,,24100,3.2,,1,,
"2020-01-20 10:00:00 EST",1579532400,101.1,103.3,NW,33,15,,71,-17,-12.8,-20,,24100,3.4,,1,,
"2020-01-20 09:00:00 EST",1579528800,101.05,103.3,NW,32,12,,71,-18.4,-14.3,-21,,24100,3.4,,1,,
"2020-01-20 08:00:00 EST",1579525200,100.94,103.2,N,35,8,,71,-18.2,-14.1,-19,,24100,3.1,,1,,
"2020-01-20 07:00:00 EST",1579521600,100.91,103.1,NNW,35,8,,73,-18,-14.1,-19,,24100,2.7,,0,,
"2020-01-20 06:00:00 EST",1579518000,100.81,103,NW,32,17,,77,-18.2,-14.9,-23,,24100,2.5,,0,,
"2020-01-20 05:00:00 EST",1579514400,100.7,102.9,NNW,35,8,,76,-17.7,-14.2,-19,,24100,2.4,,0,,
"2020-01-20 04:00:00 EST",1579510800,100.64,102.9,NNW,34,10,,74,-17.4,-13.6,-20,,24100,2.5,,0,,
"2020-01-20 03:00:00 EST",1579507200,100.56,102.8,N,0,12,,70,-17.3,-12.9,-19,,24100,2.5,,0,,
"2020-01-20 02:00:00 EST",1579503600,100.51,102.7,NNE,3,11,,67,-17.4,-12.6,-19,,24100,2.5,,0,,
"2020-01-20 01:00:00 EST",1579500000,100.47,102.7,NNE,3,15,27,61,-17.6,-11.6,-19,,24100,2.5,,0,,
"2020-01-20 00:00:00 EST",1579496400,100.42,102.6,NNE,3,21,31,60,-17,-10.7,-19,,24100,2.5,,0,,
"2020-01-19 23:00:00 EST",1579492800,100.38,102.6,NNE,2,12,28,57,-17.1,-10.1,-16,,24100,2.5,,0,,
"2020-01-19 22:00:00 EST",1579489200,100.29,102.5,NNE,2,22,,63,-15.3,-9.5,-18,,24100,2.6,,0,,
"2020-01-19 21:00:00 EST",1579485600,100.21,102.4,NNE,2,10,,68,-14,-9.2,-14,,24100,2.6,,0,,
"2020-01-19 20:00:00 EST",1579482000,100.12,102.3,NNE,1,17,,71,-13.5,-9.1,-16,,24100,2.5,,0,,
"2020-01-19 19:00:00 EST",1579478400,100.02,102.2,N,36,12,,74,-12.8,-9.1,-15,,24100,2.4,,0,,
"2020-01-19 18:00:00 EST",1579474800,99.9,102.1,N,35,16,27,73,-12.6,-8.5,-15,,24100,2.4,,1,,
"2020-01-19 17:00:00 EST",1579471200,99.73,101.9,N,35,16,29,72,-12.3,-8,-15,,24100,2.3,,3,,
"2020-01-19 16:00:00 EST",1579467600,99.57,101.7,NNW,34,21,37,70,-11.4,-6.9,-14,,16100,2.3,,7,,
"2020-01-19 15:00:00 EST",1579464000,99.41,101.6,NNW,35,12,29,76,-10.1,-6.5,-12,,9700,2.3,,7,,
"2020-01-19 14:00:00 EST",1579460400,99.3,101.5,NNW,34,19,31,75,-10.4,-6.8,-14,,16100,2.3,,8,,
"2020-01-19 13:00:00 EST",1579456800,99.24,101.4,NNE,3,14,,76,-10.8,-7.2,-13,,24100,2.3,,8,,
"2020-01-19 12:00:00 EST",1579453200,99.14,101.3,N,36,12,,79,-10.2,-7.1,-12,,24100,2.3,,8,,
"2020-01-19 11:00:00 EST",1579449600,99.08,101.2,N,36,13,37,74,-9.7,-5.8,-11,,24100,,,8,,
"2020-01-19 10:00:00 EST",1579446000,98.92,101.1,NW,32,37,,72,-9.2,-4.9,-14,,24100,,,7,,
"2020-01-19 09:00:00 EST",1579442400,98.82,101,NW,31,25,37,76,-6.7,-3.1,-10,,24100,,,8,,
"2020-01-19 08:00:00 EST",1579438800,98.7,100.8,WNW,29,24,35,76,-5.8,-2.1,-8,,24100,,,8,,
"2020-01-19 07:00:00 EST",1579435200,98.56,100.7,W,28,21,,85,-4.1,-2,-8,,8100,,,8,,
"2020-01-19 06:00:00 EST",1579431600,98.46,100.6,WNW,29,19,,90,-2.7,-1.3,-7,,4000,,,,,
"2020-01-19 05:00:00 EST",1579428000,98.32,100.5,WNW,29,22,,89,-2.1,-0.6,-6,,8100,,,8,,
"2020-01-19 04:00:00 EST",1579424400,98.21,100.3,WSW,26,23,33,85,-2.4,-0.2,-6,,8100,1.9,,6,,
"2020-01-19 03:00:00 EST",1579420800,98.13,100.3,WSW,24,19,29,83,-2.7,-0.1,-5,,24100,1.9,,8,,
"2020-01-19 02:00:00 EST",1579417200,98.04,100.2,WSW,24,18,34,81,-2.8,0,-5,,24100,1.8,,8,,
"2020-01-19 01:00:00 EST",1579413600,97.98,100.1,WSW,26,27,44,79,-2.8,0.4,,,24100,1.8,,8,,
"2020-01-19 00:00:00 EST",1579410000,97.94,100.1,SW,23,22,41,79,-2.5,0.8,,,24100,1.8,,8,,
"2020-01-18 23:00:00 EST",1579406400,97.92,100,WSW,25,21,33,79,-1.9,1.3,,,24100,2,,7,,
"2020-01-18 22:00:00 EST",1579402800,97.87,100,SW,23,19,29,86,-0.5,1.6,,,19300,2.2,,8,,
"2020-01-18 21:00:00 EST",1579399200,97.83,100,WSW,25,29,41,82,-0.4,2.3,,,24100,2.3,,8,,
"2020-01-18 20:00:00 EST",1579395600,97.74,99.9,SSE,17,18,,98,0.4,0.7,,,8100,2.2,,8,,
"2020-01-18 19:00:00 EST",1579392000,97.78,99.9,SSE,15,17,,98,-0.1,0.2,,,4800,2.2,,6,,
"2020-01-18 18:00:00 EST",1579388400,97.85,100,ESE,10,18,35,97,-0.8,-0.4,-5,,2000,2.3,,3,,
"2020-01-18 17:00:00 EST",1579384800,98,100.15,ESE,12,19,,96,-1.7,-1.1,-6,,600,2.3,,,,
"2020-01-18 16:00:00 EST",1579381200,98.19,100.35,ESE,12,20,32,95,-2.5,-1.8,-8,,800,2.2,,,,
"2020-01-18 15:00:00 EST",1579377600,98.41,100.6,ESE,11,26,,94,-3.1,-2.3,-9,,600,2.3,,,,
"2020-01-18 14:00:00 EST",1579374000,98.71,100.9,ESE,12,19,36,93,-4.2,-3.2,-9,,800,2.3,,,,
"2020-01-18 13:00:00 EST",1579370400,98.98,101.1,E,10,26,46,92,-4.9,-3.7,-11,,1000,2.3,,,,
"2020-01-18 12:00:00 EST",1579366800,99.32,101.5,ESE,11,25,38,91,-5.3,-4,-11,,800,2.3,,,,
"2020-01-18 11:00:00 EST",1579363200,99.66,101.8,ESE,10,26,40,91,-5.9,-4.6,-12,,600,2.3,,,,
"2020-01-18 10:00:00 EST",1579359600,99.89,102.1,ESE,12,21,35,77,-7.4,-4,-10,,2000,2.3,,4,,
"2020-01-18 09:00:00 EST",1579356000,100.02,102.2,E,9,27,39,75,-8.1,-4.3,-12,,24100,2.3,,8,,
"2020-01-18 08:00:00 EST",1579352400,100.24,102.4,ESE,10,22,40,73,-8.8,-4.8,-12,,24100,2.3,,8,,
"2020-01-18 07:00:00 EST",1579348800,100.47,102.7,E,10,14,29,69,-10.1,-5.3,-11,,24100,2.3,,8,,
"2020-01-18 06:00:00 EST",1579345200,100.6,102.8,ESE,11,23,39,72,-9.9,-5.6,-13,,24100,2.5,,8,,
"2020-01-18 05:00:00 EST",1579341600,100.87,103.1,ESE,12,18,32,72,-10.4,-6.2,-13,,24100,2.6,,8,,
"2020-01-18 04:00:00 EST",1579338000,101.06,103.3,ESE,11,24,,78,-9.7,-6.5,-14,,24100,2.8,,8,,
"2020-01-18 03:00:00 EST",1579334400,101.32,103.5,E,9,22,,74,-11.3,-7.4,-15,,24100,2.9,,8,,
"2020-01-18 02:00:00 EST",1579330800,101.45,103.7,E,9,25,,73,-12,-7.9,-16,,24100,2.9,,8,,
"2020-01-18 01:00:00 EST",1579327200,101.57,103.8,E,8,27,,70,-12.7,-8.1,-17,,24100,2.9,,8,,
"2020-01-18 00:00:00 EST",1579323600,101.73,104,E,8,24,,71,-12.7,-8.3,-16,,24100,3,,8,,
"2020-01-17 23:00:00 EST",1579320000,101.74,104,ESE,11,9,,70,-12.6,-8.1,-13,,24100,3,,8,,
"2020-01-17 22:00:00 EST",1579316400,101.81,104.1,E,10,10,,73,-12.5,-8.4,-13,,24100,3,,8,,
"2020-01-17 21:00:00 EST",1579312800,101.88,104.1,ESE,12,4,,70,-13.2,-8.7,-11,,24100,3,,8,,
"2020-01-17 20:00:00 EST",1579309200,101.96,104.2,SSE,16,14,,70,-13.3,-8.8,-15,,24100,3,,8,,
"2020-01-17 19:00:00 EST",1579305600,101.99,104.3,SSE,16,12,,67,-13.9,-8.8,-14,,24100,3,,8,,
"2020-01-17 18:00:00 EST",1579302000,101.97,104.2,SSE,15,13,27,65,-14.3,-8.9,-15,,24100,2.9,,8,,
"2020-01-17 17:00:00 EST",1579298400,102.02,104.3,W,28,5,,53,-17,-9,-12,,24100,2.7,,7,,
"2020-01-17 16:00:00 EST",1579294800,102.02,104.3,ENE,7,10,,52,-16.8,-8.6,-14,,24100,2.6,,7,,
"2020-01-17 15:00:00 EST",1579291200,102.05,104.3,ENE,6,13,,52,-16.7,-8.5,-14,,24100,2.6,,5,,
"2020-01-17 14:00:00 EST",1579287600,102.11,104.4,ENE,7,16,,53,-16.9,-8.9,-16,,24100,2.6,,4,,
"2020-01-17 13:00:00 EST",1579284000,102.2,104.5,NNW,33,4,,57,-16.5,-9.6,-12,,24100,2.6,,4,,
"2020-01-17 12:00:00 EST",1579280400,102.33,104.6,NW,32,5,,58,-17.2,-10.3,-13,,24100,2.6,,3,,
"2020-01-17 11:00:00 EST",1579276800,102.41,104.7,NNE,2,10,,62,-17.2,-11.2,-17,,24100,2.7,,1,,
